id,nombre,id_ciudad,direccion,telefono,estado,id_consultor_mac,id_almacenista_mac,id_secretaria_mac,id_jefe_mac,id_user_mac,id_torre_mac,codigo_distribuidor,codigo_instalador,numero_contrato_inicial,numero_contrato_final,meta_prepago,meta_postpago,tipo_sede,id_sede_padre,sub_canal
263,SUBAGENTE JG TECNOSOLUCIONES,1014,CL 100 # 12 - 105 ,3401222,Inactiva,0,0,0,0,576,0,7551,I004283,,,0,0,Secundaria,2,
264,SERVIMERCADEO CALL CENTER CALI,1003,CL 47 NORTE # 5 A - 44,3401222,Inactiva,0,0,0,0,35,0,6924,I004283,,,0,0,Secundaria,2,Call center
265,SPEED TECNOLOGÍA SAS PIENDAMO,386,CL 7 # 9 - 07,3401222,Inactiva,0,0,0,0,576,0,5130,I004324,,,0,0,Secundaria,7,
266,SUBAGENTE SAN PEDRO EVOLUCION SATELITAL S.A.S,96,CR 50 # 48 - 29 SAN PEDRO,3401222,Inactiva,0,0,0,0,576,0,7884,I004213,,,0,0,Secundaria,14,
267,SUBAGENTE ANORI,10,CR 30 # 29 - 30 ANORI,3401222,Inactiva,0,0,0,0,35,0,7885,I004716,,,0,0,Secundaria,14,Subagente
268,SERVIMERCADEO CALL CENTER VISION 24 7 MANIZALES,318,CR 19 # 64 - 69 LC 1 ED BABILONIA,3401222,Inactiva,0,0,0,0,576,0,7895,I004219,,,0,0,Secundaria,4,
269,RECUPERACION DE VENTAS CALL CENTER OCCIDENTE,829,CR 12 # 3 - 49 POPULAR MODELO,3401222,Inactiva,0,0,0,0,576,0,7901,I004174,,,0,0,Secundaria,1,
270,PDV OCAÑA ,801,CR 28 # 8 - 11 OCAÑA,3401222,Inactiva,0,0,0,0,576,0,7909,I004731,,,0,0,Secundaria,19,
271,SERVIMERCADEO SUBAGENTE JAMUNDI LESSLEY,1024,CR 12 # 12 - 06 JAMUNDI,3401222,Inactiva,0,0,0,0,37,0,7937,I004283,,,0,0,Secundaria,2,
272,SPEED TECNOLOGIA SAS TAMB,371,CL 2 # 6 - 48 EL TAMBO,3401222,Inactiva,0,0,0,0,576,0,7943,I004324,,,0,0,Secundaria,7,
